Rk,Team,G,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,UTA,82,240.9,36.3,82,8.2,22.9,28.1,59.1,16,20.7,9,31.1,40.2,17.8,7.3,3.8,12.1,20.2,96.8
2,SAS,82,241.5,37,83.4,8.1,23.7,28.8,59.7,16,20.8,9.8,31.7,41.5,21.4,7.5,4.1,14.4,19.8,98.1
3,MEM,82,242.7,34.9,78.8,9.9,28,25,50.8,20.2,26.9,9.3,32.8,42.1,20.1,7,5,14.3,20.8,100
4,DAL,82,241.2,37,79,9.6,25.3,27.4,53.7,17.2,22.3,8.9,35.6,44.5,21.3,6.5,3.4,14.9,19.4,100.8
5,MIA,82,241.2,37.9,84.2,7.8,22.7,30.1,61.5,18.5,23.7,10.2,33.4,43.6,19.6,6.8,4.9,13.7,18.7,102.1
6,CHI,82,241.2,39.5,86.6,8.9,25.9,30.5,60.7,14.6,19,10.3,32.9,43.2,23.6,7.3,4.6,13.4,18.8,102.4
7,DET,82,241.5,38.3,83.3,9.4,25.6,29,57.7,16.4,21,8,34.9,42.9,23.5,6.7,4.1,12.8,17.5,102.5
8,TOR,82,241.2,37.2,82.9,9.7,27.3,27.5,55.6,18.5,23.8,10.1,31.9,42.1,21.8,6.7,4.8,14.6,20.3,102.6
9,MIL,82,241.2,38,83,10,28.2,28,54.8,17.9,23.2,10.3,32.1,42.5,24.1,7.4,4.6,14.7,19.3,103.8
10,ATL,82,242.4,38.8,87.3,10.9,30.5,27.9,56.7,15.6,20.2,10.7,33.2,43.9,23.4,9,5.2,15.4,21.6,104
11,GSW,82,241.2,38.8,89.2,9,27.8,29.8,61.4,17.7,23.2,11.7,31.8,43.5,22.7,8.6,3.8,15.5,19.4,104.3
12,LAC,82,240.9,38.6,85.4,9.2,26.3,29.4,59.1,18,23.4,10.2,32.9,43.1,23.1,7,3.1,13.2,22.4,104.4
13,CHA,82,241.8,39.5,86.5,11.6,31.4,27.9,55.1,14.2,18.2,8.9,35.5,44.4,24.5,6.6,5.5,13.1,19.9,104.7
14,IND,82,242.1,38,84.3,10.4,29.1,27.6,55.1,19,24.1,10.7,33.5,44.3,22.3,8.1,5,14.9,19.5,105.3
15,BOS,82,240.9,38.6,85.8,9,27,29.7,58.8,19.1,24.9,10.8,33.8,44.5,22.6,7.6,5.2,13.9,20.3,105.4
16,OKC,82,241.5,39.2,85.3,8.8,24.8,30.4,60.5,18.6,24.3,9.1,31.5,40.6,21.4,8.5,5.5,13.8,20.7,105.8
17,NOP,82,242.7,40.1,89,10.5,29.8,29.5,59.2,15.8,20.7,10.6,37.7,48.3,23.4,7.4,4.2,14,19.3,106.4
18,MIN,82,241.5,39.6,83.3,9.9,27,29.7,56.3,17.6,22.9,9.8,30.6,40.4,23.1,7.7,5,14.3,20.5,106.7
19,SAC,82,242.4,38.5,83.2,10.9,30,27.5,53.2,18.9,24.2,10.1,32.8,42.9,23.7,8.5,5.1,14,20.1,106.7
20,CLE,82,242.4,40.6,88.8,10.4,28.7,30.3,60.1,15.5,20,11,33.2,44.2,24.7,7.3,4.3,12.6,20.6,107.2
21,WAS,82,242.1,39.7,85.1,9.9,27.1,29.8,58,18.2,24.2,10.6,32.5,43,22.8,7.4,4.6,15.3,19.8,107.4
22,ORL,82,241.5,40.3,86.4,9.7,26.4,30.6,60,17.4,22.7,9.7,35.8,45.5,23.6,7.6,5.1,13,18.7,107.6
23,NYK,82,242.1,39.7,87.4,9.8,28.2,29.9,59.1,18.7,24.2,11.6,33.1,44.7,21.8,7.5,4.6,12.9,18.5,108
24,PHI,82,241.8,39.6,85.9,8.9,24.9,30.7,61,20.1,26,10.8,34.2,45,22.7,8.6,5.4,15.1,19.6,108.1
25,POR,82,243,39.2,86.2,9.3,25.1,29.9,61.1,20.8,26.5,10.1,33.9,44,20.6,7.7,5.3,12.8,19.8,108.5
26,HOU,82,241.2,41.2,88.9,10,29.1,31.2,59.7,17.3,22.2,10.7,33.4,44.1,24.1,8.5,5,15.1,20.4,109.6
27,DEN,82,240.9,42.1,88.4,9.9,26.3,32.3,62.1,17.1,21.9,9.4,31.4,40.8,24,8.3,4.9,12,20.2,111.2
28,LAL,82,240.3,41.5,86,10.1,27.4,31.4,58.6,18.3,24,10.3,34.2,44.4,25.7,8.5,5.4,14.5,18.5,111.5
29,BKN,82,240.9,41.6,90.8,10,27.2,31.7,63.6,19.3,25,11,36.2,47.2,23,9.5,5.6,13.3,20.4,112.5
30,PHX,82,241.8,40.2,86.2,10.1,26.3,30.2,59.9,22.8,29.1,10.2,33.8,44,22.2,8.1,5.3,14.9,22.2,113.3
